Date,Open,High,Low,Close,Volume,Adj Close
2015-06-08,128.899994,130.179993,125.620003,127.169998,44022900,126.057373
2015-06-01,130.279999,131.389999,128.360001,128.649994,34149300,127.524422
2015-05-26,132.600006,132.910004,129.119995,130.279999,49537100,129.140167
2015-05-18,128.380005,132.970001,128.360001,132.539993,43459400,131.380386
2015-05-11,127.389999,129.490005,124.82,128.770004,41660300,127.643379
2015-05-04,129.50,130.570007,123.360001,127.620003,54378400,126.503441
2015-04-27,132.309998,134.539993,124.580002,128.949997,84194400,127.290092
2015-04-20,125.57,130.630005,125.169998,130.279999,41488100,128.602982
2015-04-13,128.369995,128.570007,124.459999,124.75,34237200,123.144157
2015-04-06,124.470001,128.119995,124.330002,127.099998,36441500,125.463905
2015-03-30,124.050003,126.489998,123.099998,125.32,40507900,123.706825
2015-03-23,127.120003,128.039993,122.599998,123.25,41865200,121.663467
2015-03-16,123.879997,129.25,122.870003,125.900002,53334500,124.279358
2015-03-09,127.959999,129.570007,121.629997,123.589996,65302800,121.999092
2015-03-02,129.25,130.279999,125.760002,126.599998,49387700,124.970345
2015-02-23,130.020004,133.600006,126.610001,128.460007,73643200,126.806412
2015-02-17,127.489998,129.50,126.919998,129.50,48588700,127.833015
2015-02-09,118.550003,127.480003,118.43,127.080002,60641300,125.444168
2015-02-02,118.050003,120.510002,116.080002,118.93,54151400,117.399078
2015-01-26,113.739998,120.00,109.029999,117.160004,93168500,115.197235
2015-01-20,107.839996,113.75,106.50,112.980003,49684200,111.087257
2015-01-12,112.599998,112.800003,105.199997,105.989998,60721400,104.214355
2015-01-05,108.290001,113.25,104.629997,112.010002,56650500,110.133507
2014-12-29,113.790001,114.769997,107.349998,109.330002,38022100,107.498405
2014-12-22,112.160004,114.519997,111.970001,113.989998,29849100,112.080338
2014-12-15,110.699997,113.239998,106.260002,111.779999,65771300,109.907356
2014-12-08,114.099998,114.849998,109.349998,109.730003,51973600,107.891708
2014-12-01,118.809998,119.25,111.269997,115.00,53317900,113.073418
2014-11-24,116.849998,119.75,116.620003,118.93,45468400,116.937576
2014-11-17,114.269997,117.57,113.300003,116.470001,46682900,114.518791
2014-11-10,109.019997,114.190002,108.400002,114.18,41033300,112.267151
2014-11-03,108.220001,110.300003,107.720001,109.010002,39990500,107.183769
2014-10-27,104.849998,108.040001,104.699997,108.00,44046100,105.732208
2014-10-20,98.32,105.489998,98.220001,105.220001,71706500,103.010582
2014-10-13,101.330002,101.779999,95.18,97.669998,71707900,95.619118
2014-10-06,99.949997,102.379997,98.309998,100.730003,56051600,98.614868
2014-09-29,98.650002,101.540001,98.040001,99.620003,49549800,97.528175
2014-09-22,101.800003,102.940002,97.720001,100.75,67764900,98.634445
2014-09-15,102.809998,103.050003,98.889999,100.959999,59470500,98.840034
2014-09-08,99.300003,103.080002,96.139999,101.660004,92410300,99.525337
2014-09-02,103.059998,103.739998,97.790001,98.970001,80790000,96.891823
2014-08-25,101.790001,102.900002,100.699997,102.50,47769200,100.347702
2014-08-18,98.489998,101.470001,97.980003,101.32,49466400,99.192474
2014-08-11,95.269997,98.190002,94.839996,97.980003,35872600,95.922615
2014-08-04,96.370003,96.580002,93.279999,94.739998,44605000,92.750641
2014-07-28,97.82,99.440002,94.809998,96.129997,47365000,93.645653
2014-07-21,94.989998,97.879997,93.720001,97.669998,55278400,95.145859
2014-07-14,95.860001,97.099998,92.57,94.43,49794000,91.989594
2014-07-07,94.139999,96.800003,93.519997,95.220001,46366000,92.759178
2014-06-30,92.099998,94.099998,92.089996,94.029999,34765500,91.59993
2014-06-23,91.32,92.00,89.650002,91.980003,43251400,89.602913
2014-06-16,91.510002,92.75,90.900002,90.910004,47045400,88.560562
2014-06-09,92.699997,95.050003,90.879997,91.279999,58629400,88.920998
2014-06-02,633.959961,651.26001,622.50,645.570007,82564300,89.840881
2014-05-27,615.880005,644.169983,615.630005,633.00,100302600,88.091576
2014-05-19,597.849976,614.72998,597.329956,614.130005,59121000,85.46553
2014-05-12,587.48999,597.529968,585.400024,597.51001,52322600,83.152603
2014-05-05,590.140015,604.409973,580.330017,585.540039,73319500,81.486801
2014-04-28,572.800049,599.429993,572.549988,592.580017,94953300,82.008476
2014-04-21,525.339966,571.98999,523.959961,571.940002,96511900,79.152054
2014-04-14,521.900024,527.76001,511.329987,524.940002,60704000,72.647621
2014-04-07,528.02002,532.23999,517.140015,519.610046,62563900,71.909996
2014-03-31,539.230042,543.47998,530.580017,531.820007,49372200,73.599762
2014-03-24,538.420044,549.00,534.25,536.859985,68017800,74.297249
2014-03-17,527.699951,536.23999,525.200012,532.869995,60819600,73.745071
2014-03-10,528.360046,539.659973,523.00,524.690002,57603800,72.613022
2014-03-03,523.419983,534.75,522.809998,530.440002,55210100,73.408783
2014-02-24,523.150024,532.75,515.599976,526.23999,73546400,72.82753
2014-02-18,546.00,551.190002,524.599976,525.25,72416400,72.690521
2014-02-10,518.659973,545.980042,518.00,543.98999,75811900,75.283997
2014-02-03,502.610016,522.929993,499.300018,519.679993,86726700,71.919678
2014-01-27,550.070007,554.799988,493.549988,500.599976,163325500,68.866928
2014-01-21,540.98999,557.289978,540.419983,546.070007,96319100,75.122185
2014-01-13,529.910034,560.200012,529.880005,540.669983,87935500,74.379311
2014-01-06,537.450012,546.859985,531.109985,532.940002,78623700,73.315903
